"Account Name","Vertical","Status","ABC ID","Date"
"128 Volvo Cars","US Automotive","Tracking","","01/26/2016 08:56 PM"
"#1 Cochran Nissan of South Hills","US Automotive","Deploying","","07/30/2015 11:31 AM"
"#1 Cochran Volkswagen of South Hills","US Automotive","Deploying","","02/25/2015 02:30 PM"
"1 Day Paint and Collision","US Automotive","Tracking","","07/22/2015 04:35 AM"
"1st Inn Limon - 66603672","Hotels","Cancelled","","03/27/2015 03:18 AM"
"3 Palms Hotel Atlanta Airport North","Hotels","Cancelled","","11/05/2015 07:02 AM"
"3 Palms Oceanfront Myrtle Beach","US Automotive","Tracking","",""
"3 Peaks Resort and Beach Club","Hotels","Cancelled","","11/05/2015 06:46 AM"
"3 Peaks Resort & Beach Club South Lake Tahoe","Hotels","Cancelled","","11/05/2015 06:53 AM"
"5 Star Chevrolet","US Automotive","Deploying","","12/16/2014 07:26 PM"
"5 Star Local and Long Distance Movers","Moving Companies","Tracking","",""
"5 Star Nissan","US Automotive","Deploying","","04/12/2015 08:28 PM"
"5 Star Toyota Scion of Milledgeville","US Automotive","Deploying","","04/12/2015 07:54 PM"
"640 Nissan","US Automotive","Tracking","","06/20/2012 03:16 AM"
"888DropMyRate","Financial Services","Deploying","","02/27/2015 03:39 AM"
"8th Street Auto","US Automotive","Deploying","","07/22/2016 08:24 AM"
"A-1 Freeman Mov Group","Moving Companies","Tracking","","06/06/2012 09:05 PM"
"Abbey Inn Cedar City","Hotels","Cancelled","","11/05/2015 06:57 AM"
"Abbott's Limousine & Livery Service, Inc","Transportation","Tracking","","05/14/2012 06:43 PM"
"ABC Autoplex","US Automotive","Deploying","","04/22/2016 08:52 AM"
"ABC Ford","US Automotive","Tracking","",""
"ABC Harley-Davidson","Powersports","Tracking","",""
"ABC Honda","US Automotive","Deploying","","02/13/2015 04:16 AM"
"ABC Hotel","Hotels","Cancelled","","11/05/2015 06:45 AM"
"ABC Nissan","US Automotive","Tracking","","04/02/2012 04:13 AM"
"ABC Volvo","US Automotive","Tracking","","02/03/2016 05:49 AM"
"ABERDEEN HONDA","US Automotive","Deploying","","10/08/2014 06:09 AM"
"Abernathy Cycles","US Automotive","Deploying","","03/17/2016 05:05 PM"
"Absolute Hyundai","US Automotive","Tracking","",""
"Abvi Barstow","Hotels","Cancelled","","11/05/2015 06:56 AM"
"ABVI Bishop - 2772469","Hotels","Cancelled","","11/05/2015 06:50 AM"
"ABVI-Blue Springs/Kansas City MO","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Abvi Blythe, Ca","Hotels","Cancelled","","11/05/2015 06:54 AM"
"ABVI Chesapeake - 9261928","Hotels","Cancelled","","11/05/2015 07:01 AM"
"ABVI Columbia","Hotels","Cancelled","","11/05/2015 06:57 AM"
"ABVI Convention Center - San Jose","Hotels","Cancelled","","11/05/2015 06:48 AM"
"ABVI Farmington","Hotels","Cancelled","","11/05/2015 06:55 AM"
"ABVI Fort Pierce","Hotels","Cancelled","","11/05/2015 06:54 AM"
"ABVI Gainesville","Hotels","Cancelled","","11/05/2015 06:54 AM"
"ABVI Golden Gate San Francisco","Hotels","Cancelled","","11/05/2015 06:58 AM"
"ABVI Harrisonville, MO","Hotels","Cancelled","","11/05/2015 06:48 AM"
"ABVI Lee","Hotels","Cancelled","","11/05/2015 06:58 AM"
"ABVI  Mesa","Hotels","Cancelled","","11/05/2015 06:56 AM"
"ABVI Needles","Hotels","Cancelled","","11/05/2015 06:56 AM"
"ABVI Norfolk Airport Virginia Beach - 9263641","Hotels","Cancelled","","11/05/2015 07:01 AM"
"ABVI North Little Rock - 9163148","Hotels","Cancelled","","11/05/2015 06:57 AM"
"ABVI Redlands","Hotels","Cancelled","","11/05/2015 06:48 AM"
"ABVI Salisbury","Hotels","Cancelled","","11/05/2015 06:58 AM"
"ABVI Sandman La Grande","Hotels","Cancelled","","11/05/2015 06:55 AM"
"ABVI Santa Fe","Hotels","Cancelled","","11/05/2015 06:54 AM"
"ABVI Santa Fe NM","Hotels","Cancelled","","11/05/2015 06:54 AM"
"ABVI Stockton","Hotels","Cancelled","","11/05/2015 06:47 AM"
"ABVI Tropicana","Hotels","Cancelled","","11/05/2015 06:49 AM"
"ABVI Tucson","Hotels","Cancelled","","11/05/2015 06:57 AM"
"ABVI Vero Beach","Hotels","Cancelled","","03/24/2014 07:10 AM"
"ABVI - Warren, OH","Hotels","Cancelled","","11/05/2015 06:48 AM"
"ABVI Yuma","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Academy Chrysler Dodge Jeep Ram","US Automotive","Deploying","","10/26/2015 08:22 PM"
"Acadiana Mazda","US Automotive","Tracking","","01/28/2013 08:47 PM"
"Acapulco Hotel & Resort‎","Hotels","Cancelled","","11/05/2015 06:45 AM"
"ACAPULCO JOES-90535485","Restaurants","Tracking","","12/13/2012 07:32 PM"
"Access Ford Lincoln of Corpus Christi","US Automotive","Live","","08/13/2014 11:32 AM"
"Ace Hotel Portland","Hotels","Cancelled","","11/05/2015 06:45 AM"
"AC Imports","US Automotive","Deploying","","01/22/2015 05:30 PM"
"Acme Auto Sales","US Automotive","Deploying","","04/22/2016 09:03 AM"
"Acton Ford","US Automotive","Tracking","",""
"Acton Toyota of Littleton","US Automotive","Tracking","",""
"Acura Carland","US Automotive","Tracking","",""
"Acura North Scottsdale","US Automotive","Tracking","",""
"Acura of Athens","US Automotive","Live","","04/15/2016 08:03 AM"
"Acura of Augusta","US Automotive","Cancelled","","08/03/2015 01:49 AM"
"Acura of Avon","US Automotive","Cancelled","","03/02/2015 09:25 AM"
"Acura of Brooklyn","US Automotive","Tracking","",""
"Acura Of Columbus","US Automotive","Live","","08/10/2015 04:50 AM"
"ACURA OF COLUMBUS","US Automotive","Deploying","","07/23/2015 10:21 PM"
"Acura of Concord","US Automotive","Tracking","","02/13/2014 07:18 PM"
"Acura of Greenwich","US Automotive","Tracking","","04/05/2016 03:06 AM"
"Acura of Honolulu","US Automotive","Live","","06/22/2016 08:38 AM"
"Acura of Johnston","US Automotive","Live","","03/09/2015 09:19 AM"
"Acura of Milford","US Automotive","Cancelled","","03/02/2015 09:27 AM"
"Acura of Naples","US Automotive","Tracking","",""
"Acura of Orange Park","US Automotive","Tracking","","09/23/2013 12:04 AM"
"Acura of Pleasanton","US Automotive","Tracking","","02/13/2014 07:21 PM"
"Acura of Riverside","US Automotive","Tracking","","02/13/2014 07:22 PM"
"Acura of Spokane","US Automotive","Tracking","","11/07/2013 01:00 AM"
"Acura of Stockton","US Automotive","Tracking","",""
"Acura of Turnersville","US Automotive","Tracking","",""
"Acura store","US Automotive","Deploying","","07/08/2015 09:28 PM"
"Acura & Volvo of Athens","US Automotive","Tracking","","02/02/2016 11:02 PM"
"Ada Ford Lincoln Motors","US Automotive","Tracking","","01/23/2013 08:58 PM"
"Adam F. Novack, MD","Medical","Cancelled","","05/09/2013 06:33 AM"
"Adams garden Inn","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Adamson Ford","US Automotive","Live","","06/21/2016 03:02 AM"
"Adams Transfer & Storage Co.","Moving Companies","Tracking","","06/06/2012 09:08 PM"
"Ada Nissan","US Automotive","Deploying","","10/04/2015 10:33 PM"
"Adelaide Inn - 9172335","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Adirondack Inn Saratoga Springs","Hotels","Cancelled","","11/05/2015 07:00 AM"
"Admiral Motor Inn Myrtle Beach","Hotels","Cancelled","","11/05/2015 06:54 AM"
"ADP","Other","Tracking","","08/29/2012 04:44 AM"
"Adrift Hotel Long Beach","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Advanced Access","US Automotive","Tracking","",""
"Advanced Collision Repair","US Automotive","Tracking","","07/22/2015 04:33 AM"
"Advantage Chevrolet of Hodgkinds","US Automotive","Deploying","","05/17/2016 05:45 PM"
"Advantage Ford Lincoln","US Automotive","Deploying","","07/25/2016 08:56 AM"
"Advantage Hyundai","US Automotive","Tracking","",""
"Advantage Nissan","US Automotive","Tracking","",""
"Advantage Toyota","US Automotive","Tracking","",""
"Affordable Inns","Hotels","Cancelled","","11/05/2015 06:53 AM"
"Affordable Inns Glenwood Springs - 53594834","Hotels","Cancelled","","11/05/2015 06:50 AM"
"Agent Image","US Automotive","Tracking","",""
"Aikens Lodge Kanab","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Airpark CJD","US Automotive","Tracking","","11/24/2013 10:27 PM"
"Airport Acura","US Automotive","Tracking","","03/17/2016 02:34 AM"
"Airport Chevrolet","US Automotive","Deploying","","10/28/2014 12:00 AM"
"Airport Chrysler Dodge Jeep","US Automotive","Deploying","","06/12/2014 02:07 AM"
"Airport Infiniti","US Automotive","Deploying","","11/22/2014 02:30 AM"
"Airport Inn SLC","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Airport Marina Ford","US Automotive","Tracking","",""
"Airport Marina Honda","US Automotive","Tracking","",""
"AIRPORT MARINA HONDA","US Automotive","Deploying","","10/07/2014 12:08 AM"
"Airport Nissan","US Automotive","Deploying","","02/20/2015 11:31 AM"
"Airport Nissan Brookpark","US Automotive","Deploying","","02/22/2016 05:23 PM"
"Airways Inn and Suites Miami Springs","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Alamo Motel Los Alamos - 53847272","Hotels","Cancelled","","09/12/2014 04:03 AM"
"Alan Byer Auto Sales, Inc.","US Automotive","Tracking","","01/28/2016 11:26 PM"
"Alaska Sales and Service","US Automotive","Deploying","","08/27/2014 04:55 AM"
"Albany Motorcars","US Automotive","Tracking","","03/12/2012 10:13 PM"
"Al Baumann Chevrolet Buick","US Automotive","Cancelled","","01/02/2015 09:26 AM"
"Albert Mims, MD","Medical -  Physicians","Cancelled","","05/09/2013 06:38 AM"
"Albert Mims, MD Lake City","Medical -  Physicians","Cancelled","","05/09/2013 06:38 AM"
"Alden Suites St Pete Beach, FL","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Alder Inn South Lake Tahoe, CA","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Alderson European Motors","US Automotive","Tracking","","03/12/2012 11:14 PM"
"Alderson European Motors Lubbock","US Automotive","Tracking","","03/12/2012 11:21 PM"
"Aleksa Auto","US Automotive","Deploying","","04/22/2016 09:13 AM"
"Alexander Infiniti Cool Springs","US Automotive","Deploying","","09/18/2016 04:46 PM"
"Alexandria Toyota","US Automotive","Tracking","","01/27/2013 10:59 PM"
"Alexis Park San Francisco","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Alfano Motorcars","US Automotive","Tracking","","03/12/2012 09:46 PM"
"Alfano Nissan","US Automotive","Tracking","","02/02/2014 07:40 PM"
"Alhambra Chrysler Dodge Jeep Ram","US Automotive","Tracking","","04/07/2014 01:05 AM"
"Alhambra Mazda","US Automotive","Tracking","",""
"ALHAMBRA NISSAN","US Automotive","Tracking","","08/26/2014 02:14 AM"
"Al Hendrickson Toyota","US Automotive","Deploying","","08/08/2016 07:28 AM"
